Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion_msnm,Promedio_Anual,Periodo_Medicion,Tipo_Dato,Unidad,Fuente,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aeropuerto Vásquez Cobo,Leticia,Amazonas,-4.19,-69.94,84,5.1,ene-82 a dic-16 (32),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",4.3,4.1,4.2,4.7,4.8,5.0,6.0,6.4,5.9,5.5,5.2,4.6
Aeropuerto Olaya Herrera,Medellín,Antioquia,6.22,-75.59,1516,5.1,abr-67 a dic-16 (38),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",5.6,5.3,4.8,4.1,4.5,5.6,6.1,5.6,5.1,4.3,4.5,4.9
Aeropuerto Santiago Pérez,Arauca,Arauca,7.07,-70.74,128,6.3,jul-81 a dic-16 (34),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",8.8,8.1,6.5,5.3,5.0,4.5,4.7,5.3,6.0,6.5,7.0,8.0
Las Flores,Barranquilla,Atlántico,11.04,-74.82,8,6.6,jul-80 a oct-13 (22),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",7.9,7.8,7.8,7.1,6.7,7.5,6.2,6.8,6.7,5.9,5.5,6.2
Aeropuerto Rafael Núñez,Cartagena,Bolívar,10.45,-75.52,2,6.9,jul-79 a dic-15 (36),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",8.9,8.6,8.7,7.7,7.0,6.2,6.3,6.8,6.5,5.8,5.5,6.3
UPTC,Tunja,Boyacá,5.54,-73.36,2690,5.4,ene-79 a sep-16 (37),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",7.9,6.7,5.5,4.7,4.3,4.3,4.6,4.9,5.1,5.0,5.4,6.6
Aeropuerto La Nubia,Manizales,Caldas,5.03,-75.47,2104,4.2,ene-79 a oct-16 (31),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",5.4,4.9,4.1,3.5,3.5,4.0,4.9,4.5,3.8,3.4,3.7,4.6
Aeropuerto Gustavo Artunduaga,Florencia,Caquetá,1.59,-75.56,244,4.3,ene-76 a may-16 (35),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",5.7,4.3,3.4,3.4,3.5,3.3,3.4,4.1,4.8,4.8,4.9,5.5
Aeropuerto Yopal (El Alcaraván),Yopal,Casanare,5.32,-72.39,325,5.6,sep-78 a nov-16 (32),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",8.1,7.0,5.1,4.3,4.6,4.2,4.4,4.8,5.5,5.8,6.3,7.8
Aeropuerto Guillermo León Valencia,Popayán,Cauca,2.45,-76.61,1752,4.5,abr-80 a dic-16 (35),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",5.2,4.6,3.9,3.7,3.8,4.9,5.6,5.4,4.6,3.8,3.9,4.5
Aeropuerto Alfonso López,Valledupar,Cesar,10.44,-73.25,138,7.4,dic-83 a oct-16 (30),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",9.2,8.8,8.8,7.8,6.8,6.2,6.9,7.1,6.8,6.3,6.4,7.3
Aeropuerto El Caraño,Quibdó,Chocó,5.69,-76.64,75,3.4,mar-79 a dic-16 (35),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",2.8,2.8,2.7,3.1,3.5,3.8,4.2,4.2,3.8,3.7,3.6,3.0
Universidad de Córdoba,Montería,Córdoba,8.79,-75.86,15,5.9,ago-79 a jun-15 (30),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",7.6,7.2,6.2,5.3,4.7,5.6,5.9,6.3,5.9,5.0,5.3,6.0
Aeropuerto El Dorado,Bogotá,Cundinamarca,4.71,-74.15,2547,4.4,ene-80 a sep-16 (32),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",6.0,5.2,4.4,3.5,3.5,3.9,4.3,4.4,4.1,3.8,4.2,5.1
Puerto Inírida,Inírida,Guainía,3.87,-67.93,100,5.3,dic-78 a dic-16 (31),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",7.0,6.3,5.5,4.4,3.8,4.1,4.5,5.2,5.7,5.6,5.9,6.0
El Trueno,San José Del Guaviare,Guaviare,2.37,-72.64,150,4.2,sep-82 a nov-16 (31),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",5.8,5.1,3.9,3.4,3.3,3.1,3.3,3.9,4.4,4.7,4.6,5.0
Aeropuerto Benito Salas,Neiva,Huila,2.95,-75.29,439,5.5,mar-78 a dic-16 (37),Brillo_Solar_horas_dia,horas/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 5",6.5,5.7,4.9,5.0,5.3,5.5,5.5,5.5,5.5,5.5,5.5,6.0
