Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion_msnm,Promedio_Anual,Periodo_Medicion,Tipo_Dato,Unidad,Fuente,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aeropuerto Vásquez Cobo,Leticia,Amazonas,-4.19,-69.94,84,2.25,ene-82 a abr-12 (31),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",2.77,2.68,3.13,2.42,2.48,2.58,1.71,1.35,1.74,1.77,2.23,2.1
Aeropuerto Olaya Herrera,Medellín,Antioquia,6.22,-75.59,1516,1.44,abr-67 a dic-12 (34),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",1.32,1.08,1.81,2.35,1.81,1.3,0.51,0.51,1.43,1.86,1.51,1.76
Aeropuerto Santiago Pérez,Arauca,Arauca,7.07,-70.74,128,1.7,jul-81 a dic-12 (31),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",0.16,0.52,1.32,2.23,2.97,3.42,3.68,2.0,1.35,1.1,1.16,0.45
Las Flores,Barranquilla,Atlántico,11.04,-74.82,8,0.81,jul-80 a may-12 (22),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",0.11,0.18,0.57,0.64,1.68,1.71,0.82,0.61,1.04,1.14,0.95,0.5
Aeropuerto Rafael Núñez,Cartagena,Bolívar,10.45,-75.52,2,1.44,jul-79 a dic-12 (33),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",0.03,0.03,0.5,0.91,2.21,2.76,1.68,1.38,1.94,2.91,2.03,0.88
UPTC,Tunja,Boyacá,5.54,-73.36,2690,0.83,ene-79 a jul-12 (33),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",0.09,0.45,1.06,1.61,1.48,1.42,0.88,0.58,0.64,0.88,0.58,0.3
Aeropuerto La Nubia,Manizales,Caldas,5.03,-75.47,2104,2.62,ene-79 a oct-12 (31),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",1.48,1.97,2.88,4.06,3.64,2.7,1.7,1.45,2.79,3.58,2.94,2.24
Aeropuerto Gustavo Artunduaga,Florencia,Caquetá,1.59,-75.56,244,3.88,ene-76 a dic-12 (32),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",1.33,3.61,5.06,5.24,5.12,6.58,7.15,4.24,2.42,2.12,2.21,1.45
Aeropuerto Yopal (El Alcaraván),Yopal,Casanare,5.32,-72.39,325,1.81,sep-78 a ago-12 (31),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",0.33,0.91,2.15,2.79,2.68,3.52,2.91,2.0,1.82,1.39,1.09,0.36
Aeropuerto Guillermo León Valencia,Popayán,Cauca,2.45,-76.61,1752,1.7,abr-80 a nov-12 (33),Dias_Sin_Sol_por_mes,días/mes,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 6",1.3,1.45,2.76,3.03,2.79,1.09,0.36,0.39,1.45,2.24,1.88,1.64
