Estacion,Municipio,Departamento,Latitud,Longitud,Elevacion_msnm,Promedio_Anual,Periodo_Medicion,Tipo_Dato,Unidad,Fuente,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aeropuerto Vásquez Cobo,Leticia,Amazonas,-4.19,-69.94,84,4.2952,ago-14 a dic-16 (3),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.2481,3.9801,3.8534,4.0683,3.8432,3.7839,4.0146,4.7394,5.038,4.7133,4.8021,4.4577
Metromedellin,Medellín,Antioquia,6.33,-75.55,1440,4.5309,jul-05 a dic-16 (9),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.4233,4.598,4.3567,4.346,4.3457,4.8501,4.9765,4.8487,4.8908,4.262,4.1887,4.285
Aeropuerto Santiago Pérez,Arauca,Arauca,7.07,-70.74,128,4.6198,ene-86 a ene-92 (4),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.1563,4.4841,4.6171,4.3712,4.2926,4.204,4.2991,4.4161,4.8959,4.7025,4.7865,5.2124
Las Flores (ENAVAL),Barranquilla,Atlántico,11.04,-74.82,8,5.6014,nov-09 a dic-16 (5),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",6.2134,6.0271,6.2976,5.6604,5.5663,5.6791,5.8889,5.6763,5.1946,4.72,4.7676,5.5248
Aeropuerto Rafael Núñez,Cartagena,Bolívar,10.45,-75.52,2,5.5525,feb-90 a dic-00 (7),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.9877,6.4129,6.3788,6.0128,4.9514,4.9887,5.6442,5.2131,5.2913,5.0145,4.9882,5.7468
UPTC,Tunja,Boyacá,5.54,-73.36,2690,4.4974,dic-92 a dic-02 (7),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.061,4.9797,4.8555,4.4796,4.1981,4.143,4.1671,4.2455,4.4125,4.5373,4.3412,4.5481
EMAS,Manizales,Caldas,5.09,-75.51,2211,3.822,may-05 a dic-16 (12),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.1159,4.0506,3.7834,3.6733,3.5079,3.5845,4.0457,4.0038,4.1142,3.7056,3.5223,3.7568
Macagual - Florencia,Florencia,Caquetá,1.5,-75.66,280,3.631,jul-05 a dic-16 (6),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",4.0823,3.9526,3.3496,3.4854,3.0048,3.1938,3.1377,3.5777,3.77,4.0011,3.9979,4.0191
Aeropuerto Yopal (El Alcaraván),Yopal,Casanare,5.32,-72.39,325,4.9332,nov-09 a dic-16 (6),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.7692,5.3962,4.8899,4.512,4.4336,4.3574,4.2835,4.5284,5.1926,5.1301,5.1834,5.5218
Fedearroz,Valledupar,Cesar,10.46,-73.25,184,5.4236,sep-05 a dic-16 (11),Irradiacion_Global_kWh_m2_dia,kWh/m²/día,"Atlas de Radiación Solar, Ultravioleta y Ozono de Colombia, IDEAM/UPME, 2017, Anexo 3",5.4941,5.791,5.5317,5.6296,5.4025,5.6483,5.7167,5.4824,5.2028,4.9826,4.9737,5.2275
