FECHA,AÑO,PERIODO,EMPRESA,DEPARTAMENTO,ESTRATO,TARIFA
Mar-25,2025,3,CEDENAR,Nariño,1,424.98889
Abr-25,2025,4,CEDENAR,Nariño,1,427.23021
May-25,2025,5,CEDENAR,Nariño,1,430.04623
Jun-25,2025,6,CEDENAR,Nariño,1,431.42551
Jul-25,2025,7,CEDENAR,Nariño,1,431.88526
Ago-25,2025,8,CEDENAR,Nariño,1,433.06339
Sep-25,2025,9,CEDENAR,Nariño,1,433.86797
Oct-25,2025,10,CEDENAR,Nariño,1,435.27598
Nov-25,2025,11,CEDENAR,Nariño,1,436.08056
Dic-25,2025,12,CEDENAR,Nariño,1,436.39664
Ene-26,2026,1,CEDENAR,Nariño,1,437.54604
Feb-26,2026,2,CEDENAR,Nariño,1,442.71831
* Pesos corrientes,,,CEDENAR,Nariño,1,0.01182108744487773
Mar-25,2025,3,CEDENAR,Nariño,2,531.23612
Abr-25,2025,4,CEDENAR,Nariño,2,534.03777
May-25,2025,5,CEDENAR,Nariño,2,537.55779
Jun-25,2025,6,CEDENAR,Nariño,2,539.28188
Jul-25,2025,7,CEDENAR,Nariño,2,539.85658
Ago-25,2025,8,CEDENAR,Nariño,2,541.32924
Sep-25,2025,9,CEDENAR,Nariño,2,542.33496
Oct-25,2025,10,CEDENAR,Nariño,2,544.09498
Nov-25,2025,11,CEDENAR,Nariño,2,545.1007
Dic-25,2025,12,CEDENAR,Nariño,2,545.4958
Ene-26,2026,1,CEDENAR,Nariño,2,546.93254
Feb-26,2026,2,CEDENAR,Nariño,2,553.39789
* Pesos corrientes,,,CEDENAR,Nariño,2,0.011821110515750157
Mar-25,2025,3,CEDENAR,Nariño,3,855.53591
Abr-25,2025,4,CEDENAR,Nariño,3,803.88343
May-25,2025,5,CEDENAR,Nariño,3,783.79284
Jun-25,2025,6,CEDENAR,Nariño,3,809.11096
Jul-25,2025,7,CEDENAR,Nariño,3,822.37278
Ago-25,2025,8,CEDENAR,Nariño,3,824.8553
Sep-25,2025,9,CEDENAR,Nariño,3,800.48473
Oct-25,2025,10,CEDENAR,Nariño,3,796.092
Nov-25,2025,11,CEDENAR,Nariño,3,801.98718
Dic-25,2025,12,CEDENAR,Nariño,3,784.36686
